week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w24,Malaysia,155,116,114,1635,1616,879,437,380,287,275,2.63,1.97,1.93,27.74,27.42,14.91,7.41,6.45,4.87,4.67,6.28,3.19,3.62,22.33,29.52,22.88,14.0,17.43,26.8,69.23
w23,Malaysia,123,71,68,894,953,545,356,286,226,245,3.27,1.88,1.81,23.73,25.3,14.47,9.45,7.59,6.0,6.5,4.99,1.95,2.16,12.21,17.41,14.18,11.4,13.12,21.1,61.68
w22,Malaysia,112,95,102,736,827,504,298,192,171,194,3.47,2.94,3.16,22.78,25.6,15.6,9.22,5.94,5.29,6.0,4.54,2.61,3.24,10.05,15.11,13.12,9.55,8.8,15.97,48.84
w21,Malaysia,97,102,103,615,591,353,228,166,151,119,3.84,4.04,4.08,24.36,23.41,13.98,9.03,6.57,5.98,4.71,3.93,2.81,3.27,8.4,10.8,9.19,7.3,7.61,14.1,29.96
w20,Malaysia,66,84,88,449,544,313,186,137,110,111,3.16,4.02,4.21,21.5,26.05,14.99,8.91,6.56,5.27,5.32,2.68,2.31,2.8,6.13,9.94,8.15,5.96,6.28,10.27,27.95
w19,Malaysia,38,46,45,324,357,196,113,88,68,75,2.81,3.41,3.33,24.0,26.44,14.52,8.37,6.52,5.04,5.56,1.54,1.27,1.43,4.42,6.52,5.1,3.62,4.04,6.35,18.88
w18,Malaysia,53,72,80,487,460,311,161,128,72,89,2.77,3.76,4.18,25.46,24.05,16.26,8.42,6.69,3.76,4.65,2.15,1.98,2.54,6.65,8.4,8.09,5.16,5.87,6.72,22.41
w17,Malaysia,61,60,41,366,406,221,123,115,70,79,3.96,3.89,2.66,23.74,26.33,14.33,7.98,7.46,4.54,5.12,2.47,1.65,1.3,5.0,7.42,5.75,3.94,5.27,6.54,19.89
w16,Malaysia,42,52,38,403,381,221,146,88,59,65,2.81,3.48,2.54,26.96,25.48,14.78,9.77,5.89,3.95,4.35,1.7,1.43,1.21,5.5,6.96,5.75,4.68,4.04,5.51,16.36
w15,Malaysia,31,25,23,320,415,232,122,90,56,53,2.27,1.83,1.68,23.41,30.36,16.97,8.92,6.58,4.1,3.88,1.26,0.69,0.73,4.37,7.58,6.04,3.91,4.13,5.23,13.34
