"date","state","cases_imported","cases_imported_total"
2020-04-24,"PERLIS",0,0
2020-04-24,"KEDAH",0,0
2020-04-24,"PULAU PINANG",0,0
2020-04-24,"PERAK",0,0
2020-04-24,"SELANGOR",2,2
2020-04-24,"NEGERI SEMBILAN",0,0
2020-04-24,"MELAKA",2,2
2020-04-24,"JOHOR",3,3
2020-04-24,"PAHANG",0,0
2020-04-24,"TERENGGANU",0,0
2020-04-24,"KELANTAN",0,0
2020-04-24,"SABAH",0,0
2020-04-24,"SARAWAK",6,6
2020-04-24,"WP KUALA LUMPUR",0,0
2020-04-24,"WP PUTRAJAYA",0,0
2020-04-24,"WP LABUAN",0,0
2020-04-25,"PERLIS",0,0
2020-04-25,"KEDAH",0,0
2020-04-25,"PULAU PINANG",0,0
2020-04-25,"PERAK",0,0
2020-04-25,"SELANGOR",0,2
2020-04-25,"NEGERI SEMBILAN",0,0
2020-04-25,"MELAKA",0,2
2020-04-25,"JOHOR",0,3
2020-04-25,"PAHANG",0,0
2020-04-25,"TERENGGANU",0,0
2020-04-25,"KELANTAN",0,0
2020-04-25,"SABAH",0,0
2020-04-25,"SARAWAK",1,7
2020-04-25,"WP KUALA LUMPUR",2,2
2020-04-25,"WP PUTRAJAYA",0,0
2020-04-25,"WP LABUAN",0,0
2020-04-26,"PERLIS",0,0
2020-04-26,"KEDAH",0,0
2020-04-26,"PULAU PINANG",0,0
2020-04-26,"PERAK",0,0
2020-04-26,"SELANGOR",1,3
2020-04-26,"NEGERI SEMBILAN",0,0
2020-04-26,"MELAKA",0,2
2020-04-26,"JOHOR",3,6
2020-04-26,"PAHANG",0,0
2020-04-26,"TERENGGANU",0,0
2020-04-26,"KELANTAN",0,0
2020-04-26,"SABAH",0,0
2020-04-26,"SARAWAK",0,7
2020-04-26,"WP KUALA LUMPUR",0,2
2020-04-26,"WP PUTRAJAYA",1,1
2020-04-26,"WP LABUAN",0,0
2020-04-27,"PERLIS",0,0
2020-04-27,"KEDAH",0,0
2020-04-27,"PULAU PINANG",0,0
2020-04-27,"PERAK",0,0
2020-04-27,"SELANGOR",0,3
2020-04-27,"NEGERI SEMBILAN",0,0
2020-04-27,"MELAKA",0,2
2020-04-27,"JOHOR",0,6
2020-04-27,"PAHANG",0,0
2020-04-27,"TERENGGANU",0,0
2020-04-27,"KELANTAN",0,0
2020-04-27,"SABAH",0,0
2020-04-27,"SARAWAK",1,8
2020-04-27,"WP KUALA LUMPUR",4,6
2020-04-27,"WP PUTRAJAYA",0,1
2020-04-27,"WP LABUAN",0,0
2020-04-28,"PERLIS",0,0
2020-04-28,"KEDAH",0,0
2020-04-28,"PULAU PINANG",0,0
2020-04-28,"PERAK",0,0
2020-04-28,"SELANGOR",2,5
2020-04-28,"NEGERI SEMBILAN",0,0
2020-04-28,"MELAKA",0,2
2020-04-28,"JOHOR",1,7
2020-04-28,"PAHANG",0,0
2020-04-28,"TERENGGANU",0,0
2020-04-28,"KELANTAN",0,0
2020-04-28,"SABAH",0,0
2020-04-28,"SARAWAK",1,9
2020-04-28,"WP KUALA LUMPUR",5,11
2020-04-28,"WP PUTRAJAYA",1,2
2020-04-28,"WP LABUAN",0,0
2020-04-29,"PERLIS",0,0
2020-04-29,"KEDAH",0,0
2020-04-29,"PULAU PINANG",0,0
2020-04-29,"PERAK",0,0
2020-04-29,"SELANGOR",0,5
2020-04-29,"NEGERI SEMBILAN",72,72
2020-04-29,"MELAKA",0,2
2020-04-29,"JOHOR",0,7
2020-04-29,"PAHANG",0,0
2020-04-29,"TERENGGANU",0,0
2020-04-29,"KELANTAN",0,0
2020-04-29,"SABAH",0,0
2020-04-29,"SARAWAK",0,9
2020-04-29,"WP KUALA LUMPUR",0,11
2020-04-29,"WP PUTRAJAYA",0,2
2020-04-29,"WP LABUAN",0,0
2020-04-30,"PERLIS",0,0
2020-04-30,"KEDAH",0,0
2020-04-30,"PULAU PINANG",0,0
2020-04-30,"PERAK",0,0
2020-04-30,"SELANGOR",13,18
2020-04-30,"NEGERI SEMBILAN",0,72
2020-04-30,"MELAKA",2,4
2020-04-30,"JOHOR",3,10
2020-04-30,"PAHANG",0,0
2020-04-30,"TERENGGANU",0,0
2020-04-30,"KELANTAN",0,0
2020-04-30,"SABAH",0,0
2020-04-30,"SARAWAK",0,9
2020-04-30,"WP KUALA LUMPUR",7,18
2020-04-30,"WP PUTRAJAYA",0,2
2020-04-30,"WP LABUAN",0,0
2020-05-01,"PERLIS",0,0
2020-05-01,"KEDAH",0,0
2020-05-01,"PULAU PINANG",0,0
2020-05-01,"PERAK",0,0
2020-05-01,"SELANGOR",4,22
2020-05-01,"NEGERI SEMBILAN",0,72
2020-05-01,"MELAKA",1,5
2020-05-01,"JOHOR",3,13
2020-05-01,"PAHANG",0,0
2020-05-01,"TERENGGANU",0,0
2020-05-01,"KELANTAN",0,0
2020-05-01,"SABAH",0,0
2020-05-01,"SARAWAK",0,9
2020-05-01,"WP KUALA LUMPUR",0,18
2020-05-01,"WP PUTRAJAYA",4,6
2020-05-01,"WP LABUAN",0,0
2020-05-02,"PERLIS",0,0
2020-05-02,"KEDAH",0,0
2020-05-02,"PULAU PINANG",0,0
2020-05-02,"PERAK",0,0
2020-05-02,"SELANGOR",2,24
2020-05-02,"NEGERI SEMBILAN",0,72
2020-05-02,"MELAKA",0,5
2020-05-02,"JOHOR",1,14
2020-05-02,"PAHANG",0,0
2020-05-02,"TERENGGANU",0,0
2020-05-02,"KELANTAN",0,0
2020-05-02,"SABAH",0,0
2020-05-02,"SARAWAK",0,9
2020-05-02,"WP KUALA LUMPUR",8,26
2020-05-02,"WP PUTRAJAYA",0,6
2020-05-02,"WP LABUAN",0,0
2020-05-03,"PERLIS",0,0
2020-05-03,"KEDAH",0,0
2020-05-03,"PULAU PINANG",0,0
2020-05-03,"PERAK",0,0
2020-05-03,"SELANGOR",0,24
2020-05-03,"NEGERI SEMBILAN",50,122
2020-05-03,"MELAKA",0,5
2020-05-03,"JOHOR",0,14
2020-05-03,"PAHANG",0,0
2020-05-03,"TERENGGANU",0,0
2020-05-03,"KELANTAN",0,0
2020-05-03,"SABAH",0,0
2020-05-03,"SARAWAK",0,9
2020-05-03,"WP KUALA LUMPUR",1,27
2020-05-03,"WP PUTRAJAYA",1,7
2020-05-03,"WP LABUAN",0,0
2020-05-04,"PERLIS",0,0
2020-05-04,"KEDAH",0,0
2020-05-04,"PULAU PINANG",0,0
2020-05-04,"PERAK",0,0
2020-05-04,"SELANGOR",4,28
2020-05-04,"NEGERI SEMBILAN",1,123
2020-05-04,"MELAKA",2,7
2020-05-04,"JOHOR",0,14
