cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
Kluster Warga Jepun,14,Lembah Pantai,2020-03-01,2020-03-09,import,ended,0,3,0,267,0,0,3,Unknown,Unknown
Kluster Uda,"1,5,10,14,16",Pelbagai,2020-03-04,2020-03-01,import,ended,0,144,0,1864,0,2,142,Unknown,Unknown
Kluster Keagamaan (Tabligh Sri Petaling),0,Pelbagai,2020-03-13,2020-03-11,religious,ended,0,2022,0,42023,0,34,1988,Unknown,Unknown
Kluster Tabligh New Delhi,"5,10,14,16",Pelbagai,2020-03-16,2020-03-20,import,ended,0,24,0,57,0,0,24,,
Kluster Airod,6,Kuantan,2020-03-31,2020-03-31,workplace,ended,0,65,0,734,0,0,65,Unknown,Unknown
Kluster Pui Itali,13,Kuching,2020-04-05,2020-03-20,import,ended,0,65,0,629,0,5,60,Unknown,Unknown
Subkluster Tabligh Sri Petaling - Kluster Majlis Perkahwinan Bandar Baru Bangi,"1,2,3,4,5,8,10,11,14,16",Pelbagai,2020-04-06,2020-03-14,religious,ended,0,159,0,938,0,0,159,,
Kluster Persidangan Gereja Gnf,13,"Kuching, Samarahan , Serian",2020-04-06,2020-03-15,religious,ended,0,191,0,6991,0,3,188,Unknown,Unknown
Subkluster Tabligh Sri Petaling - Kluster Bandar Baru Ibrahim Majid & Kawasan Sekitar,1,Kluang,2020-04-07,2020-03-13,religious,ended,0,193,0,2384,0,4,189,,
Subkluster Tabligh Sri Petaling - Kluster Menara Plaza City One,14,Lembah Pantai,2020-04-07,2020-03-19,religious,ended,0,55,0,1986,0,1,54,,
Subkluster Tabligh Sri Petaling - Kluster Rembau,5,Rembau,2020-04-08,2020-03-14,religious,ended,0,53,0,538,0,0,53,,
"Subkluster Tabligh Sri Petaling - Kluster Madrasah Bustanul Ulum Abu Bakar, Ayer Merbau",4,Jasin,2020-04-12,2020-03-15,religious,ended,0,41,0,138,0,0,41,,
Subkluster Tabligh Sri Petaling - Kluster Kampung Sungai Lui,10,Hulu Langat,2020-04-12,2020-03-16,religious,ended,0,211,0,1088,0,0,211,,
"Subkluster Tabligh Sri Petaling - Kluster Maahad Darul Uloom Al-Islamia, Sungai Salan",6,Jerantut,2020-04-12,2020-03-18,religious,ended,0,85,0,398,0,0,85,,
Subkluster Tabligh Sri Petaling - Kluster Madrasah Penanti,7,Seberang Perai Tengah,2020-04-12,2020-03-20,religious,ended,0,11,0,361,0,0,11,,
Kluster Pui Bali,"3,6","Tumpat , Kuantan",2020-04-13,2020-03-24,import,ended,0,43,0,4211,0,4,39,,
