week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w24,Malaysia,2,1,0,2,1,1,6,3,8,21,4.44,2.22,0.0,4.44,2.22,2.22,13.33,6.67,17.78,46.67,0.08,0.03,0.0,0.03,0.02,0.03,0.19,0.14,0.75,5.29
w23,Malaysia,1,0,1,1,2,1,5,4,8,11,2.94,0.0,2.94,2.94,5.88,2.94,14.71,11.76,23.53,32.35,0.04,0.0,0.03,0.01,0.04,0.03,0.16,0.18,0.75,2.77
w22,Malaysia,1,0,1,0,2,1,4,6,7,14,2.78,0.0,2.78,0.0,5.56,2.78,11.11,16.67,19.44,38.89,0.04,0.0,0.03,0.0,0.04,0.03,0.13,0.28,0.65,3.52
w21,Malaysia,0,0,0,0,1,2,6,2,7,12,0.0,0.0,0.0,0.0,3.33,6.67,20.0,6.67,23.33,40.0,0.0,0.0,0.0,0.0,0.02,0.05,0.19,0.09,0.65,3.02
w20,Malaysia,0,0,0,1,0,1,1,3,4,12,0.0,0.0,0.0,4.55,0.0,4.55,4.55,13.64,18.18,54.55,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.14,0.37,3.02
w19,Malaysia,0,0,0,0,0,2,1,4,5,10,0.0,0.0,0.0,0.0,0.0,9.09,4.55,18.18,22.73,45.45,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.18,0.47,2.52
w18,Malaysia,0,0,0,2,0,1,2,4,7,8,0.0,0.0,0.0,8.33,0.0,4.17,8.33,16.67,29.17,33.33,0.0,0.0,0.0,0.03,0.0,0.03,0.06,0.18,0.65,2.01
w17,Malaysia,0,0,0,0,0,1,5,5,9,6,0.0,0.0,0.0,0.0,0.0,3.85,19.23,19.23,34.62,23.08,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.23,0.84,1.51
w16,Malaysia,0,0,0,0,1,0,1,8,10,6,0.0,0.0,0.0,0.0,3.85,0.0,3.85,30.77,38.46,23.08,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.37,0.93,1.51
w15,Malaysia,0,0,0,0,0,1,5,4,12,17,0.0,0.0,0.0,0.0,0.0,2.56,12.82,10.26,30.77,43.59,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.18,1.12,4.28
w14,Malaysia,1,0,0,0,0,2,5,9,14,23,1.85,0.0,0.0,0.0,0.0,3.7,9.26,16.67,25.93,42.59,0.04,0.0,0.0,0.0,0.0,0.05,0.16,0.41,1.31,5.79
w13,Malaysia,0,0,0,1,1,6,5,8,15,22,0.0,0.0,0.0,1.72,1.72,10.34,8.62,13.79,25.86,37.93,0.0,0.0,0.0,0.01,0.02,0.16,0.16,0.37,1.4,5.54
w12,Malaysia,1,1,1,0,2,1,10,10,14,17,1.75,1.75,1.75,0.0,3.51,1.75,17.54,17.54,24.56,29.82,0.04,0.03,0.03,0.0,0.04,0.03,0.32,0.46,1.31,4.28
w11,Malaysia,1,0,0,1,4,4,11,6,13,10,2.0,0.0,0.0,2.0,8.0,8.0,22.0,12.0,26.0,20.0,0.04,0.0,0.0,0.01,0.07,0.1,0.35,0.28,1.21,2.52
w10,Malaysia,0,0,0,0,1,3,4,7,10,19,0.0,0.0,0.0,0.0,2.27,6.82,9.09,15.91,22.73,43.18,0.0,0.0,0.0,0.0,0.02,0.08,0.13,0.32,0.93,4.78
w9,Malaysia,0,0,0,0,1,3,3,5,10,14,0.0,0.0,0.0,0.0,2.78,8.33,8.33,13.89,27.78,38.89,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.23,0.93,3.52
w8,Malaysia,0,0,0,0,0,0,1,8,9,13,0.0,0.0,0.0,0.0,0.0,0.0,3.23,25.81,29.03,41.94,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.37,0.84,3.27
w7,Malaysia,0,0,0,0,0,2,2,5,4,7,0.0,0.0,0.0,0.0,0.0,10.0,10.0,25.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.23,0.37,1.76
w6,Malaysia,0,0,0,0,0,0,2,3,6,5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,18.75,37.5,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.56,1.26
w5,Malaysia,0,0,0,0,0,1,0,3,2,9,0.0,0.0,0.0,0.0,0.0,6.67,0.0,20.0,13.33,60.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.14,0.19,2.27
w4,Malaysia,0,0,0,2,1,1,0,0,2,4,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.03,0.02,0.03,0.0,0.0,0.19,1.01
w3,Malaysia,0,0,0,0,2,1,0,1,2,2,0.0,0.0,0.0,0.0,25.0,12.5,0.0,12.5,25.0,25.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.05,0.19,0.5
w2,Malaysia,0,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.5
w1,Malaysia,0,0,0,0,1,0,0,0,3,4,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,37.5,50.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.28,1.01
w24,Klang Valley,1,0,0,0,1,1,0,1,4,4,8.33,0.0,0.0,0.0,8.33,8.33,0.0,8.33,33.33,33.33,0.16,0.0,0.0,0.0,0.06,0.08,0.0,0.19,1.67,5.67
w23,Klang Valley,1,0,0,0,0,0,1,2,0,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,20.0,0.16,0.0,0.0,0.0,0.0,0.0,0.12,0.39,0.0,1.42
w22,Klang Valley,0,0,0,0,0,0,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.0,7.08
w21,Klang Valley,0,0,0,0,1,1,2,0,1,4,0.0,0.0,0.0,0.0,11.11,11.11,22.22,0.0,11.11,44.44,0.0,0.0,0.0,0.0,0.06,0.08,0.24,0.0,0.42,5.67
w20,Klang Valley,0,0,0,1,0,0,0,0,2,3,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,33.33,50.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.83,4.25
w19,Klang Valley,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,5.67
w18,Klang Valley,0,0,0,0,0,0,0,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,44.44,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.67,4.25
w17,Klang Valley,0,0,0,0,0,1,0,4,2,2,0.0,0.0,0.0,0.0,0.0,11.11,0.0,44.44,22.22,22.22,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.77,0.83,2.83
w16,Klang Valley,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,1.25,0.0
w15,Klang Valley,0,0,0,0,0,0,1,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,27.27,54.55,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,1.25,8.5
w14,Klang Valley,0,0,0,0,0,1,1,4,6,8,0.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.77,2.5,11.33
w13,Klang Valley,0,0,0,0,0,0,2,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.0,9.92
w12,Klang Valley,0,0,0,0,0,0,4,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,33.33,16.67,8.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.39,0.42,7.08
w11,Klang Valley,0,0,0,1,0,2,2,1,4,3,0.0,0.0,0.0,7.69,0.0,15.38,15.38,7.69,30.77,23.08,0.0,0.0,0.0,0.06,0.0,0.17,0.24,0.19,1.67,4.25
w10,Klang Valley,0,0,0,0,0,1,0,1,3,5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.19,1.25,7.08
w9,Klang Valley,0,0,0,0,0,1,0,2,1,2,0.0,0.0,0.0,0.0,0.0,16.67,0.0,33.33,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.39,0.42,2.83
w8,Klang Valley,0,0,0,0,0,0,0,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,50.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.67,1.42
w7,Klang Valley,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.83,0.0
w6,Klang Valley,0,0,0,0,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.42,2.83
w5,Klang Valley,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.42
w4,Klang Valley,0,0,0,2,0,0,0,0,1,3,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,16.67,50.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.42,4.25
w3,Klang Valley,0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.42,2.83
w2,Klang Valley,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
w1,Klang Valley,0,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.83
w24,Johor,0,0,0,0,0,0,1,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,11.11,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.77,13.44
w23,Johor,0,0,0,0,1,0,1,1,1,3,0.0,0.0,0.0,0.0,14.29,0.0,14.29,14.29,14.29,42.86,0.0,0.0,0.0,0.0,0.16,0.0,0.26,0.38,0.77,5.76
w22,Johor,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.77,1.92
w21,Johor,0,0,0,0,0,1,0,0,1,2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.77,3.84
w20,Johor,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84
w19,Johor,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.26,0.0,0.0,0.0
w18,Johor,0,0,0,2,0,1,0,1,1,2,0.0,0.0,0.0,28.57,0.0,14.29,0.0,14.29,14.29,28.57,0.0,0.0,0.0,0.25,0.0,0.21,0.0,0.38,0.77,3.84
w17,Johor,0,0,0,0,0,0,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.77,1.92
w16,Johor,0,0,0,0,0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.54,3.84
w15,Johor,0,0,0,0,0,0,0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,7.68
w14,Johor,0,0,0,0,0,1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.21,0.26,0.38,0.0,5.76
w13,Johor,0,0,0,0,0,2,1,0,3,1,0.0,0.0,0.0,0.0,0.0,28.57,14.29,0.0,42.86,14.29,0.0,0.0,0.0,0.0,0.0,0.43,0.26,0.0,2.32,1.92
w12,Johor,0,1,0,0,0,0,2,1,3,2,0.0,11.11,0.0,0.0,0.0,0.0,22.22,11.11,33.33,22.22,0.0,0.24,0.0,0.0,0.0,0.0,0.53,0.38,2.32,3.84
w11,Johor,0,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.38,0.77,0.0
w10,Johor,0,0,0,0,0,1,1,0,2,0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.26,0.0,1.54,0.0
w9,Johor,0,0,0,0,0,1,0,0,3,1,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,2.32,1.92
w8,Johor,0,0,0,0,0,0,0,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,5.76
w7,Johor,0,0,0,0,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,5.76
w6,Johor,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
