date,state,beds,beds_noncrit,admitted_pui,admitted_covid,admitted_total,discharged_pui,discharged_covid,discharged_total,hosp_covid,hosp_pui,hosp_noncovid
2020-03-24,Johor,1440,1408,0,0,0,0,0,0,18,9,1
2020-03-24,Kedah,1218,1183,0,0,0,0,0,0,46,5,12
2020-03-24,Kelantan,1463,1424,9,6,15,1,0,1,78,58,23
2020-03-24,Melaka,1091,1065,0,0,0,0,0,0,19,10,12
2020-03-24,Negeri Sembilan,1223,1205,0,0,0,0,0,0,90,13,8
2020-03-24,Pahang,851,830,0,0,0,0,0,0,36,14,14
2020-03-24,Penang,1158,1132,0,0,0,0,0,0,68,2,8
2020-03-24,Perak,1706,1667,0,0,0,0,1,1,78,40,6
2020-03-24,Perlis,508,495,0,0,0,0,0,0,7,8,8
2020-03-24,Sabah,2598,2528,0,0,0,0,0,0,161,46,35
2020-03-24,Sarawak,2390,2327,0,0,0,0,0,0,73,85,29
2020-03-24,Selangor,887,783,5,16,21,0,24,24,261,39,184
2020-03-24,Terengganu,1232,1209,0,0,0,0,0,0,9,6,14
2020-03-24,W.P. Kuala Lumpur,1570,1537,0,0,0,0,0,0,70,15,1
2020-03-24,W.P. Labuan,122,115,0,0,0,0,0,0,5,3,2
2020-03-25,Johor,1440,1408,20,14,34,26,0,26,134,120,1
2020-03-25,Kedah,1218,1183,17,5,22,0,0,0,94,31,14
2020-03-25,Kelantan,1365,1321,0,0,0,0,0,0,0,0,32
2020-03-25,Melaka,1091,1065,0,2,2,0,1,1,38,11,8
2020-03-25,Negeri Sembilan,1223,1205,1,16,17,2,5,7,98,2,7
2020-03-25,Pahang,763,742,1,4,5,9,1,10,11,40,13
2020-03-25,Penang,1158,1132,6,2,8,2,4,6,43,4,8
2020-03-25,Perak,2011,1964,28,5,33,0,0,0,94,46,16
2020-03-25,Perlis,508,495,0,1,1,17,1,18,10,21,9
2020-03-25,Sabah,2598,2528,6,0,6,0,0,0,167,58,24
2020-03-25,Sarawak,2390,2327,7,5,12,5,4,9,78,63,29
2020-03-25,Selangor,845,741,7,33,40,0,6,6,281,55,73
2020-03-25,Terengganu,1117,1094,3,1,4,0,0,0,35,70,13
2020-03-25,W.P. Kuala Lumpur,1570,1537,4,22,26,0,0,0,146,25,0
2020-03-25,W.P. Labuan,122,115,1,0,1,0,0,0,0,1,2
2020-03-26,Johor,1440,1408,5,7,12,0,3,3,170,30,184
2020-03-26,Kedah,1218,1183,1,5,6,0,0,0,52,6,670
2020-03-26,Kelantan,1573,1529,10,12,22,4,0,4,89,62,679
2020-03-26,Melaka,1091,1065,0,0,0,0,0,0,0,0,14
2020-03-26,Negeri Sembilan,1223,1205,2,14,16,0,2,2,106,3,467
2020-03-26,Pahang,763,742,4,4,8,0,0,0,44,15,257
2020-03-26,Penang,1158,1132,0,4,4,2,3,5,52,2,480
2020-03-26,Perak,2011,1964,16,4,20,3,0,3,149,30,807
2020-03-26,Perlis,508,495,1,0,1,0,0,0,0,3,226
