"date","recover_new","recover_total"
"2019-12-31",0,0
"2020-01-01",0,0
"2020-01-02",0,0
"2020-01-03",0,0
"2020-01-04",0,0
"2020-01-05",0,0
"2020-01-06",0,0
"2020-01-07",0,0
"2020-01-08",0,0
"2020-01-09",0,0
"2020-01-10",0,0
"2020-01-11",0,0
"2020-01-12",0,0
"2020-01-13",0,0
"2020-01-14",0,0
"2020-01-15",0,0
"2020-01-16",0,0
"2020-01-17",0,0
"2020-01-18",0,0
"2020-01-19",0,0
"2020-01-20",0,0
"2020-01-21",0,0
"2020-01-22",0,0
"2020-01-23",0,0
"2020-01-24",0,0
"2020-01-25",0,0
"2020-01-26",0,0
"2020-01-27",0,0
"2020-01-28",0,0
"2020-01-29",0,0
"2020-01-30",0,0
"2020-01-31",0,0
"2020-02-01",0,0
"2020-02-02",0,0
"2020-02-03",1,1
"2020-02-04",0,1
"2020-02-05",0,1
"2020-02-06",0,1
"2020-02-07",1,2
"2020-02-08",1,3
"2020-02-09",0,3
"2020-02-10",0,3
"2020-02-11",0,3
"2020-02-12",0,3
"2020-02-13",4,7
"2020-02-14",0,7
"2020-02-15",1,8
"2020-02-16",1,9
"2020-02-17",4,13
"2020-02-18",4,17
"2020-02-19",0,17
"2020-02-20",0,17
"2020-02-21",0,17
"2020-02-22",1,18
"2020-02-23",2,20
"2020-02-24",0,20
"2020-02-25",0,20
"2020-02-26",2,22
"2020-02-27",0,22
"2020-02-28",0,22
"2020-02-29",0,22
"2020-03-01",0,22
"2020-03-02",0,22
"2020-03-03",0,22
"2020-03-04",0,22
"2020-03-05",0,22
"2020-03-06",1,23
"2020-03-07",0,23
"2020-03-08",1,24
"2020-03-09",0,24
"2020-03-10",1,25
"2020-03-11",1,26
"2020-03-12",6,32
"2020-03-13",1,33
"2020-03-14",2,35
"2020-03-15",7,42
"2020-03-16",0,42
"2020-03-17",7,49
"2020-03-18",11,60
"2020-03-19",15,75
"2020-03-20",12,87
"2020-03-21",27,114
"2020-03-22",25,139
"2020-03-23",20,159
"2020-03-24",24,183
"2020-03-25",16,199
"2020-03-26",16,215
"2020-03-27",44,259
"2020-03-28",61,320
"2020-03-29",68,388
"2020-03-30",91,479
"2020-03-31",58,537
"2020-04-01",108,645
"2020-04-02",122,767
"2020-04-03",60,827
"2020-04-04",88,915
"2020-04-05",90,1005
"2020-04-06",236,1241
"2020-04-07",80,1321
"2020-04-08",166,1487
"2020-04-09",121,1608
"2020-04-10",222,1830
"2020-04-11",165,1995
"2020-04-12",113,2108
"2020-04-13",168,2276
"2020-04-14",202,2478
"2020-04-15",169,2647
"2020-04-16",119,2766
"2020-04-17",201,2967
"2020-04-18",135,3102
"2020-04-19",95,3197
"2020-04-20",98,3295
"2020-04-21",54,3349
"2020-04-22",103,3452
"2020-04-23",90,3542
"2020-04-24",121,3663
"2020-04-25",99,3762
"2020-04-26",100,3862
"2020-04-27",95,3957
"2020-04-28",75,4032
"2020-04-29",55,4087
"2020-04-30",84,4171
"2020-05-01",39,4210
"2020-05-02",116,4326
"2020-05-03",87,4413
"2020-05-04",71,4484
"2020-05-05",83,4567
"2020-05-06",135,4702
"2020-05-07",74,4776
"2020-05-08",88,4864
"2020-05-09",65,4929
"2020-05-10",96,5025
"2020-05-11",88,5113
"2020-05-12",110,5223
"2020-05-13",58,5281
"2020-05-14",70,5351
"2020-05-15",88,5439
"2020-05-16",73,5512
"2020-05-17",59,5571
"2020-05-18",44,5615
"2020-05-19",31,5646
"2020-05-20",60,5706
"2020-05-21",90,5796
"2020-05-22",63,5859
"2020-05-23",53,5912
"2020-05-24",33,5945
"2020-05-25",34,5979
"2020-05-26",62,6041
"2020-05-27",42,6083
"2020-05-28",86,6169
"2020-05-29",66,6235
"2020-05-30",95,6330
"2020-05-31",23,6353
"2020-06-01",51,6404
"2020-06-02",66,6470
"2020-06-03",61,6531
"2020-06-04",28,6559
"2020-06-05",51,6610
"2020-06-06",25,6635
"2020-06-07",39,6674
"2020-06-08",20,6694
"2020-06-09",281,6975
"2020-06-10",39,7014
"2020-06-11",51,7065
"2020-06-12",103,7168
"2020-06-13",143,7311
"2020-06-14",35,7346
"2020-06-15",54,7400
"2020-06-16",333,7733
"2020-06-17",140,7873
"2020-06-18",127,8000
"2020-06-19",70,8070
"2020-06-20",76,8146
"2020-06-21",10,8156
"2020-06-22",21,8177
"2020-06-23",9,8186
"2020-06-24",45,8231
"2020-06-25",40,8271
"2020-06-26",23,8294
"2020-06-27",14,8308
"2020-06-28",10,8318
"2020-06-29",16,8334
"2020-06-30",20,8354
"2020-07-01",21,8375
"2020-07-02",62,8437
"2020-07-03",9,8446
"2020-07-04",15,8461
"2020-07-05",4,8465
"2020-07-06",11,8476
"2020-07-07",5,8481
"2020-07-08",5,8486
"2020-07-09",13,8499
"2020-07-10",12,8511
"2020-07-11",4,8515
"2020-07-12",4,8519
"2020-07-13",1,8520
"2020-07-14",4,8524
"2020-07-15",2,8526
"2020-07-16",12,8538
"2020-07-17",3,8541
"2020-07-18",5,8546
"2020-07-19",7,8553
"2020-07-20",2,8555
"2020-07-21",7,8562
"2020-07-22",4,8566
"2020-07-23",8,8574
"2020-07-24",3,8577
"2020-07-25",17,8594
"2020-07-26",6,8600
"2020-07-27",1,8601
"2020-07-28",6,8607
"2020-07-29",5,8612
"2020-07-30",5,8617
"2020-07-31",27,8644
"2020-08-01",3,8647
"2020-08-02",17,8664
"2020-08-03",4,8668
"2020-08-04",16,8684
"2020-08-05",18,8702
"2020-08-06",11,8713
"2020-08-07",15,8728
"2020-08-08",47,8775
"2020-08-09",9,8784
"2020-08-10",19,8803
"2020-08-11",6,8809
"2020-08-12",8,8817
"2020-08-13",4,8821
"2020-08-14",7,8828
"2020-08-15",3,8831
"2020-08-16",28,8859
"2020-08-17",17,8876
"2020-08-18",26,8902
"2020-08-19",23,8925
"2020-08-20",7,8932
"2020-08-21",13,8945
"2020-08-22",4,8949
"2020-08-23",10,8959
"2020-08-24",6,8965
"2020-08-25",6,8971
"2020-08-26",7,8978
"2020-08-27",16,8994
"2020-08-28",36,9030
"2020-08-29",8,9038
"2020-08-30",10,9048
"2020-08-31",6,9054
"2020-09-01",21,9075
"2020-09-02",4,9079
"2020-09-03",4,9083
"2020-09-04",9,9092
"2020-09-05",21,9113
"2020-09-06",2,9115
"2020-09-07",9,9124
"2020-09-08",12,9136
"2020-09-09",7,9143
"2020-09-10",24,9167
"2020-09-11",14,9181
"2020-09-12",8,9189
"2020-09-13",7,9196
"2020-09-14",7,9203
"2020-09-15",6,9209
"2020-09-16",26,9235
"2020-09-17",15,9250
"2020-09-18",14,9264
"2020-09-19",51,9315
"2020-09-20",40,9355
"2020-09-21",40,9395
"2020-09-22",168,9563
"2020-09-23",39,9602
"2020-09-24",64,9666
"2020-09-25",30,9696
"2020-09-26",89,9785
"2020-09-27",50,9835
"2020-09-28",54,9889
"2020-09-29",50,9939
"2020-09-30",28,9967
"2020-10-01",47,10014
"2020-10-02",81,10095
"2020-10-03",121,10216
"2020-10-04",67,10283
"2020-10-05",57,10340
"2020-10-06",87,10427
"2020-10-07",74,10501
"2020-10-08",18,10519
"2020-10-09",188,10707
"2020-10-10",73,10780
"2020-10-11",133,10913
"2020-10-12",109,11022
"2020-10-13",350,11372
"2020-10-14",233,11605
"2020-10-15",409,12014
"2020-10-16",245,12259
"2020-10-17",302,12561
"2020-10-18",701,13262
"2020-10-19",455,13717
"2020-10-20",634,14351
"2020-10-21",580,14931
"2020-10-22",486,15417
"2020-10-23",467,15884
"2020-10-24",671,16555
"2020-10-25",579,17134
"2020-10-26",691,17825
"2020-10-27",674,18499
"2020-10-28",573,19072
"2020-10-29",685,19757
"2020-10-30",491,20248
"2020-10-31",1000,21248
"2020-11-01",972,22220
"2020-11-02",900,23120
"2020-11-03",875,23995
"2020-11-04",820,24815
"2020-11-05",839,25654
"2020-11-06",726,26380
"2020-11-07",1029,27409
"2020-11-08",825,28234
"2020-11-09",1345,29579
"2020-11-10",725,30304
"2020-11-11",769,31073
"2020-11-12",996,32069
"2020-11-13",900,32969
"2020-11-14",803,33772
"2020-11-15",1013,34785
"2020-11-16",821,35606
"2020-11-17",1018,36624
"2020-11-18",630,37254
"2020-11-19",878,38132
"2020-11-20",956,39088
"2020-11-21",1405,40493
"2020-11-22",1104,41597
"2020-11-23",883,42480
"2020-11-24",1673,44153
"2020-11-25",2348,46501
"2020-11-26",2555,49056
"2020-11-27",1148,50204
"2020-11-28",1110,51314
"2020-11-29",1333,52647
"2020-11-30",2112,54759
"2020-12-01",1552,56311
"2020-12-02",658,56969
"2020-12-03",948,57917
"2020-12-04",1144,59061
"2020-12-05",1143,60204
"2020-12-06",1069,61273
"2020-12-07",1033,62306
"2020-12-08",1750,64056
"2020-12-09",1068,65124
"2020-12-10",1112,66236
"2020-12-11",937,67173
"2020-12-12",911,68084
"2020-12-13",1309,69393
"2020-12-14",1204,70597
"2020-12-15",1084,71681
"2020-12-16",1052,72733
"2020-12-17",1297,74030
"2020-12-18",1214,75244
"2020-12-19",998,76242
"2020-12-20",1067,77309
"2020-12-21",1084,78393
"2020-12-22",911,79304
"2020-12-23",710,80014
"2020-12-24",1085,81099
"2020-12-25",1441,82540
"2020-12-26",874,83414
"2020-12-27",997,84411
"2020-12-28",1181,85592
"2020-12-29",1123,86715
"2020-12-30",745,87460
"2020-12-31",1481,88941
"2021-01-01",2230,91171
"2021-01-02",3321,94492
"2021-01-03",2726,97218
"2021-01-04",1010,98228
"2021-01-05",1221,99449
"2021-01-06",1129,100578
"2021-01-07",2145,102723
"2021-01-08",2708,105431
"2021-01-09",1401,106832
"2021-01-10",1277,108109
"2021-01-11",1006,109115
"2021-01-12",1469,110584
"2021-01-13",994,111578
"2021-01-14",1710,113288
"2021-01-15",1939,115227
"2021-01-16",2148,117375
"2021-01-17",2676,120051
"2021-01-18",2293,122344
"2021-01-19",2944,125288
"2021-01-20",2374,127662
"2021-01-21",2490,130152
"2021-01-22",2554,132706
"2021-01-23",4313,137019
"2021-01-24",4427,141446
"2021-01-25",3638,145084
"2021-01-26",4076,149160
"2021-01-27",1858,151018
"2021-01-28",3281,154299
"2021-01-29",3423,157722
"2021-01-30",3805,161527
"2021-01-31",4522,166049
"2021-02-01",4280,170329
"2021-02-02",3661,173990
"2021-02-03",3804,177794
"2021-02-04",4092,181886
"2021-02-05",3392,185278
"2021-02-06",1692,186970
"2021-02-07",3369,190339
"2021-02-08",2340,192679
"2021-02-09",3887,196566
"2021-02-10",1929,198495
"2021-02-11",3774,202269
"2021-02-12",3505,205774
"2021-02-13",3515,209289
"2021-02-14",4525,213814
"2021-02-15",4521,218335
"2021-02-16",5718,224053
"2021-02-17",5709,229762
"2021-02-18",5320,235082
"2021-02-19",4889,239971
"2021-02-20",4782,244753
"2021-02-21",4456,249209
"2021-02-22",3414,252623
"2021-02-23",4055,256678
"2021-02-24",3331,260009
"2021-02-25",3752,263761
"2021-02-26",3085,266846
"2021-02-27",3320,270166
"2021-02-28",3251,273417
"2021-03-01",2486,275903
"2021-03-02",2528,278431
"2021-03-03",2276,280707
"2021-03-04",2922,283629
"2021-03-05",3275,286904
"2021-03-06",2548,289452
"2021-03-07",2506,291958
"2021-03-08",2076,294034
"2021-03-09",2345,296379
"2021-03-10",2137,298516
"2021-03-11",2104,300620
"2021-03-12",2042,302662
"2021-03-13",1830,304492
"2021-03-14",1782,306274
"2021-03-15",1973,308247
"2021-03-16",1365,309612
"2021-03-17",1346,310958
"2021-03-18",1503,312461
"2021-03-19",1996,314457
"2021-03-20",1585,316042
"2021-03-21",1247,317289
"2021-03-22",1495,318784
"2021-03-23",1058,319842
"2021-03-24",1083,320925
"2021-03-25",1491,322416
"2021-03-26",1509,323925
"2021-03-27",1257,325182
"2021-03-28",1127,326309
"2021-03-29",1097,327406
"2021-03-30",1148,328554
"2021-03-31",1070,329624
"2021-04-01",1377,331001
"2021-04-02",1442,332443
"2021-04-03",1449,333892
"2021-04-04",1270,335162
"2021-04-05",1294,336456
"2021-04-06",1412,337868
"2021-04-07",1199,339067
"2021-04-08",1175,340242
"2021-04-09",1247,341489
"2021-04-10",1248,342737
"2021-04-11",1216,343953
"2021-04-12",1052,345005
"2021-04-13",1290,346295
"2021-04-14",1485,347780
"2021-04-15",1259,349039
"2021-04-16",1524,350563
"2021-04-17",1832,352395
"2021-04-18",1427,353822
"2021-04-19",1402,355224
"2021-04-20",1592,356816
"2021-04-21",1910,358726
"2021-04-22",2541,361267
"2021-04-23",2341,363608
"2021-04-24",2292,365900
"2021-04-25",1853,367753
"2021-04-26",1803,369556
"2021-04-27",2019,371575
"2021-04-28",1822,373397
"2021-04-29",1943,375340
"2021-04-30",2640,377980
"2021-05-01",2462,380442
"2021-05-02",2698,383140
"2021-05-03",2068,385208
"2021-05-04",2334,387542
"2021-05-05",2304,389846
"2021-05-06",2709,392555
"2021-05-07",3449,396004
"2021-05-08",2719,398723
"2021-05-09",3211,401934
"2021-05-10",3454,405388
"2021-05-11",2848,408236
"2021-05-12",3124,411360
"2021-05-13",3347,414707
"2021-05-14",4190,418897
"2021-05-15",3432,422329
"2021-05-16",3990,426319
"2021-05-17",2784,429103
"2021-05-18",3497,432600
"2021-05-19",3516,436116
"2021-05-20",3916,440032
"2021-05-21",4508,444540
"2021-05-22",4694,449234
"2021-05-23",3587,452821
"2021-05-24",3452,456273
"2021-05-25",3789,460062
"2021-05-26",4665,464727
"2021-05-27",4598,469325
"2021-05-28",4814,474139
"2021-05-29",5527,479666
"2021-05-30",5121,484787
"2021-05-31",5251,490038
"2021-06-01",6083,496121
"2021-06-02",5777,501898
"2021-06-03",7049,508947
"2021-06-04",6624,515571
"2021-06-05",6105,521676
"2021-06-06",5133,526809
"2021-06-07",7548,534357
"2021-06-08",6962,541319
"2021-06-09",7386,548705
"2021-06-10",7325,556030
"2021-06-11",7749,563779
"2021-06-12",8334,572113
"2021-06-13",8163,580276
"2021-06-14",6588,586864
"2021-06-15",6831,593695
"2021-06-16",7240,600935
"2021-06-17",7530,608465
"2021-06-18",6861,615326
"2021-06-19",6918,622244
"2021-06-20",5941,628185
"2021-06-21",5439,633624
"2021-06-22",5557,639181
"2021-06-23",6372,645553
"2021-06-24",5411,650964
"2021-06-25",6775,657739
"2021-06-26",5193,662932
"2021-06-27",4777,667709
"2021-06-28",4744,672453
"2021-06-29",5298,677751
"2021-06-30",4929,682680
"2021-07-01",5580,688260
"2021-07-02",6278,694538
"2021-07-03",5677,700215
"2021-07-04",5271,705486
"2021-07-05",4532,710018
"2021-07-06",4797,714815
"2021-07-07",4863,719678
"2021-07-08",5802,725480
"2021-07-09",5713,731193
"2021-07-10",5910,737103
"2021-07-11",5194,742297
"2021-07-12",5041,747338
"2021-07-13",5990,753328
"2021-07-14",6377,759705
"2021-07-15",6095,765800
"2021-07-16",6742,772542
"2021-07-17",6629,779171
"2021-07-18",5778,784949
"2021-07-19",6439,791388
"2021-07-20",7567,798955
"2021-07-21",7902,806857
"2021-07-22",8436,815293
"2021-07-23",10094,825387
