date,checkins,unique_ind,unique_loc
2020-12-01,17492265,6614474,630363
2020-12-02,17695726,6667261,648752
2020-12-03,17063123,6549583,645604
2020-12-04,18350879,6803979,622383
2020-12-05,19711082,6845366,573132
2020-12-06,18446273,6516281,439135
2020-12-07,17691454,6738929,643921
2020-12-08,18024878,6805439,657047
2020-12-09,18082383,6786580,661302
2020-12-10,17730193,6759771,658644
2020-12-11,19138526,6898051,588292
2020-12-12,19737390,6878470,567707
2020-12-13,18916254,6678491,441427
2020-12-14,17416783,6676176,641131
2020-12-15,17653991,6751043,653437
2020-12-16,18130898,6803611,655669
2020-12-17,18559087,6922036,656199
2020-12-18,19295829,7027003,625373
2020-12-19,21146173,7173478,575948
2020-12-20,19608275,6824224,440911
2020-12-21,18450195,6904791,636038
2020-12-22,19163238,7004242,658356
2020-12-23,20070232,7123054,663909
2020-12-24,20711984,7258723,648535
2020-12-25,19323734,6701401,443202
2020-12-26,18964818,6748611,539929
2020-12-27,18737734,6698745,432619
2020-12-28,19075168,7017510,642311
2020-12-29,18694967,6951854,652802
2020-12-30,19850628,7126469,659245
2020-12-31,20769671,7356546,650077
2021-01-01,18926326,6711607,421727
2021-01-02,19434472,6900125,540969
2021-01-03,17311378,6428235,422131
2021-01-04,18401907,6967121,643675
2021-01-05,18201420,6929788,655403
2021-01-06,18869979,7026330,657441
2021-01-07,18931767,7097677,662957
2021-01-08,19915758,7278100,641290
2021-01-09,21085991,7305813,586433
2021-01-10,19424249,6894019,450422
2021-01-11,19331401,7212733,661171
2021-01-12,21277039,7637641,678841
2021-01-13,12368785,5526663,567284
2021-01-14,12699650,5651721,579603
2021-01-15,13198380,5774728,564755
2021-01-16,13149189,5553484,511544
2021-01-17,11537092,5044539,384070
2021-01-18,13361664,5857647,603723
2021-01-19,13609735,5941499,616950
2021-01-20,14322712,6104716,631944
2021-01-21,14645908,6207112,633962
2021-01-22,12747172,5646106,578087
2021-01-23,13123717,5561103,528690
2021-01-24,11913854,5163482,400858
2021-01-25,14453975,6135813,630147
2021-01-26,14476206,6167202,637399
2021-01-27,14178162,6100884,639082
2021-01-28,13082128,5617716,551022
2021-01-29,14491024,6114282,600777
