date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2020-12-01,6395,4052,2611,2005,1660,1574,1371,1421,1736,3316,7961,25196,52503,130025,260459,487275,589956,622652,607775,601831,622364,615467,627128,669364,801754,831169,848726,696972,649743,613763,587982,549878,528499,497217,541013,591255,630124,602570,533079,499436,484926,400220,287114,165690,95964,58921,34247,15906
2020-12-02,6615,3957,2682,1974,1721,1581,1438,1480,1867,3378,8253,26497,56792,139687,277312,508220,612710,645687,613719,601815,619992,617798,631502,674280,811867,837592,851573,696530,652126,618349,595056,556019,527820,502556,550235,596717,639260,611787,539724,503532,483593,397703,287540,165463,96497,60809,35813,16608
2020-12-03,6920,3943,2936,2150,1755,1490,1499,1590,1842,3500,8169,25687,55644,135933,268926,487973,584597,610616,589348,586045,608647,604825,617892,659293,792076,818396,836594,682480,636611,594575,568155,538281,507600,475773,515214,556486,589587,570865,521526,492463,468638,381225,275301,159941,95561,61119,36086,17350
2020-12-04,7404,4759,3064,2223,1791,1699,1543,1614,2115,3511,8441,27177,57741,136834,269189,483225,586855,625518,608907,608809,635336,631601,644903,683592,825833,923503,884577,689087,647664,620169,607824,582090,555542,522614,559748,603054,645704,636042,587843,562922,552979,464684,347722,211850,128239,81293,48715,23330
2020-12-05,9520,5907,3871,2662,2181,1769,1727,1718,2237,3696,8345,25391,53247,121701,223646,373478,470743,537549,589369,627339,695612,710804,743547,780108,852867,843240,845548,792314,771881,749059,731588,706541,692332,659717,681027,704550,726066,699774,638364,607971,597757,501530,375434,229508,138917,89817,53057,26056
2020-12-06,10576,6160,4108,2880,2135,1722,1547,1616,2126,3087,7001,21496,41632,88940,162494,279722,373038,449743,528517,598322,683071,715697,750685,783420,816496,820549,813084,758420,752518,738206,724723,696985,671664,641708,659220,684291,696475,659566,591162,553031,525195,425285,305157,175093,100901,63201,36418,17190
2020-12-07,6427,3917,2559,1972,1601,1385,1216,1415,1917,3390,7470,25665,54740,130902,261962,494276,595631,628253,606168,601730,628089,627310,643445,686982,820224,855972,878133,720919,672652,633596,598233,535560,492469,470668,525449,578041,615227,596581,543380,509581,500643,417229,303309,177030,104886,66033,38675,18542
2020-12-08,6677,3905,2774,1962,1635,1435,1362,1548,2136,3573,8292,26418,58595,140196,278144,517488,624352,651995,622174,610764,634217,628392,639859,686594,826354,859421,879312,715444,668002,630706,602185,564621,534002,500491,538806,582586,621206,605829,551180,521754,514082,424398,310028,181445,109545,68386,41109,19499
2020-12-09,7293,4150,2768,2089,1645,1478,1438,1607,2213,3677,8521,26391,59880,143102,285569,528613,638660,663422,630118,618241,637805,631047,643129,689891,832388,866572,882470,715880,665295,628573,595813,554264,521086,490534,537825,592864,631983,602236,538863,511082,504799,428687,313172,187088,112736,72031,43041,20354
2020-12-10,7721,4377,2963,2155,1869,1657,1399,1589,2104,3533,8575,26169,58706,138523,274604,510352,608299,638068,616124,603653,628639,622765,637756,683266,819707,841052,838182,668708,620877,586527,565793,542638,524999,496588,528477,568955,611798,597670,552921,520017,512845,435958,328880,201179,125283,82230,49542,24501
2020-12-11,9428,5800,3874,2731,2263,1989,1905,1983,2464,3966,9189,26836,58183,130192,251596,441191,538846,580172,590540,608530,659804,667797,690231,735608,861882,938535,901191,724307,704482,681270,667151,637464,606885,568794,598262,634810,666772,659860,620869,587752,586976,501650,383339,239711,150732,100285,61315,29114
2020-12-12,11545,6710,4290,3026,2210,1841,1662,1888,2312,3712,8548,24713,54422,117062,215628,361921,460263,529309,582582,622022,695372,716197,752557,797578,877510,877180,881230,826776,805851,783379,766509,729678,697737,654154,664672,682707,694382,660238,605237,586559,576108,480726,359850,226529,139999,95490,58236,29283
2020-12-13,12273,7109,4504,3077,2095,1757,1538,1652,2163,3109,7285,20389,40921,83499,155165,272441,365798,443595,521269,591280,676520,711140,747714,787999,829770,837715,837920,784987,774567,758314,740672,712255,688125,652730,668409,691392,719266,704057,641280,596029,561978,456070,333384,198598,118478,77349,46362,22255
2020-12-14,8887,4889,3294,2200,1699,1484,1304,1387,1981,3754,9287,25927,55895,127412,252951,485038,590637,627484,606865,604079,629087,630980,650094,692227,825981,853696,873116,713097,651661,604758,575147,544617,516409,486243,520023,560688,590847,562798,511001,476692,472327,391196,282957,164500,98535,64017,38773,18862
2020-12-15,7311,4231,2906,2033,1615,1465,1475,1553,2106,3825,9749,27180,61034,139952,275096,514327,623722,655224,628628,614340,634251,627814,641064,687330,821327,832134,833154,686772,647493,608294,580846,546747,514991,484962,514038,551469,598321,589236,545458,510452,493974,400493,299718,180669,110701,71050,42575,20886
2020-12-16,8324,4620,3139,2038,1772,1413,1517,1595,2212,3778,9743,26843,60076,138744,273716,514974,630243,665704,636413,620754,644183,638644,653713,697630,845023,877585,895173,728974,680522,636339,598606,549344,503341,484611,534465,588981,637659,611490,549817,516044,498048,412711,306992,185948,111666,71014,43820,20937
2020-12-17,8678,4979,3257,2253,1790,1565,1495,1639,2166,3672,9606,26637,60289,137484,269536,504195,613994,649276,621208,612886,632869,630999,650521,700841,848395,884792,903804,743536,692300,651215,619832,592616,566571,528969,552209,587920,624187,619114,588393,560956,552141,463633,342313,205741,125445,81418,48214,23538
2020-12-18,9889,5782,3655,2689,2045,1846,1563,1915,2298,3887,9868,27158,59257,127450,250316,465284,576940,624949,616873,619929,652507,656255,674704,723784,875212,979641,954579,740659,711418,676397,639231,602671,584756,555742,583202,624193,669985,663015,623493,596675,596908,509145,389480,245790,153581,103115,64103,31995
2020-12-19,13494,7933,4975,3549,2605,2134,1927,1974,2470,3920,9463,25591,57954,120103,216792,366640,468382,540305,595459,633873,704164,729866,768083,815068,897334,899996,912774,862583,845063,824186,810510,781959,761186,728646,736593,752685,771831,755213,705172,668512,667641,568838,434657,271788,168603,115978,71268,36433
2020-12-20,15713,9115,5646,3892,2438,2011,1719,1755,2231,3362,7486,20342,45108,88242,155053,265507,354904,434292,511461,583726,677642,717275,761608,806349,857286,871461,872025,820348,817639,803565,789283,759909,734720,700817,707065,728755,748551,724638,659137,607406,590720,487574,357023,212061,126116,82636,48917,23746
2020-12-21,9956,5883,3545,2464,1775,1489,1371,1609,2143,3670,9514,25799,57044,126161,241543,468544,573523,616935,607163,609432,642828,647729,671901,717310,848866,884023,906091,757104,717984,683949,653613,612873,571751,535044,557096,593218,627493,612854,564952,521499,523996,443942,328008,196095,117185,75832,45571,21825
2020-12-22,9293,5333,3576,2451,1921,1582,1487,1683,2164,3859,9564,26129,60018,134839,264549,498896,606854,645210,623335,619538,652941,653061,678607,728185,875039,910129,926285,765487,718784,683517,656455,618110,583398,546505,573546,617466,662645,651250,613409,576195,583343,495779,366251,217933,129732,83207,49525,24173
2020-12-23,10234,5861,3650,2468,2042,1755,1556,1751,2390,3856,9888,26469,61534,136504,267448,502614,616607,655411,641067,639072,674709,681702,705493,757364,903660,938421,957708,799117,754723,718937,691697,655518,622423,588713,617878,666097,714131,694739,640929,601633,616832,530387,396411,236035,139603,90789,55328,27078
2020-12-24,11415,6599,4349,2968,2227,1892,1704,1948,2558,3997,9735,25964,60324,131743,255372,473039,574144,622670,624965,639177,693885,707632,740688,786026,909329,939350,960968,830048,792104,760125,735463,702184,665621,624725,633515,664671,698571,693347,664542,636280,649903,576404,453166,293891,184696,129021,83681,45358
2020-12-25,20213,13118,8601,5782,4053,3069,2766,2548,3006,4130,9053,23027,49615,89331,156481,256628,332343,409164,483088,550846,640958,681236,724107,764532,818973,856408,856833,737530,758753,761308,757714,734459,712454,677233,670524,703439,730361,719159,679916,626196,637617,558091,430935,270313,166203,114668,71173,35779
2020-12-26,15159,9137,5637,3636,2348,2028,1667,1897,2405,3492,8456,22479,50870,99449,181012,309737,401902,474271,534204,586732,668046,697738,744043,792210,871306,869821,867466,809204,790379,760348,733018,678921,642277,615606,619527,642393,672896,653717,593708,548636,554638,476654,367443,234241,148436,101548,61796,32284
2020-12-27,14879,9285,5820,3777,2476,1903,1659,1775,2238,3197,7061,18357,43393,80860,146883,252839,345275,426921,503547,573298,656711,691591,731287,773108,824326,833687,824337,774166,762939,748335,730317,702690,681836,650567,650827,675014,697484,680463,633254,588412,577968,490205,369238,228885,138989,92590,55280,27785
2020-12-28,11971,7174,4598,3146,2118,1676,1519,1616,2221,3712,9371,23962,54743,117901,234448,451099,562408,614079,614238,634256,678254,688347,715386,761092,885212,911042,924979,776894,738845,706590,680795,639602,597145,547220,552011,586044,636633,633702,592986,548503,561103,483808,359683,217865,131928,85595,51916,25732
2020-12-29,10781,6285,4129,2708,2025,1786,1593,1641,2250,3936,9336,24555,59552,126059,245271,463680,562919,591066,583998,594042,635515,648023,676866,732971,869380,900414,915720,764477,724335,688083,661103,622980,586975,537972,544002,573196,617091,617679,585112,545943,567626,489407,365129,223610,135825,88721,52942,26258
2020-12-30,11171,6672,4247,2832,2153,1776,1631,1781,2466,3914,9402,24568,59392,125708,251108,478966,594594,637670,626984,635027,675921,683204,715037,766282,903698,932504,953662,800555,756604,725835,699347,657016,622189,577481,590261,644594,699371,684980,627127,572416,594002,524588,390787,239890,146863,96271,58620,29461
