state,idxs,pop,pop_18,pop_60,pop_12,pop_5
Malaysia,0,32447385,22213348,2720852,3378098,4305529
Klang Valley,17,9085737,6160252,488261,811929,1243371
Johor,1,4009670,2850005,349129,401689,474570
Kedah,2,2131427,1412703,204307,241172,321403
Kelantan,3,1792501,1128690,180379,239284,282811
Melaka,4,998428,701747,97298,104824,104806
Negeri Sembilan,5,1199974,836967,126943,119555,149960
Pahang,6,1591295,1058760,137924,193968,230210
Perak,8,2496041,1781364,334981,260408,290082
Perlis,9,284885,203948,32910,36458,29305
Pulau Pinang,7,1740405,1290465,178892,146714,199366
Sabah,12,3418785,2190147,198024,417520,529402
Sarawak,13,2453677,1783152,282773,259581,271656
Selangor,10,6994423,4648257,360024,619406,982185
Terengganu,11,1149440,751350,102319,134939,167354
W.P. Kuala Lumpur,14,1982112,1447859,125268,183504,238024
W.P. Labuan,15,95120,63798,6712,10057,11233
W.P. Putrajaya,16,109202,64136,2969,9019,23162
