code,school,state,district,postcode,lat,lon,dose1_staff,dose2_staff,dose1_student,dose2_student,dose1_12,dose1_13,dose1_14,dose1_15,dose1_16,dose1_17,dose1_18,dose2_12,dose2_13,dose2_14,dose2_15,dose2_16,dose2_17,dose2_18
ABA0001,SK TOH TANDEWA SAKTI,8,56,35000,4.196633,101.255932,100.0,100.0,69.6,0.0,68.8,100.0,100.0,,,,,0.0,0.0,0.0,,,,
ABA0002,SK PENDITA ZA'BA,8,56,35400,4.178275806,101.2006171,100.0,100.0,66.2,0.0,66.2,,,,,,,0.0,,,,,,
ABA0003,SK BANIR,8,56,35400,4.204361,101.181893,100.0,100.0,50.0,0.0,50.0,,,,,,,0.0,,,,,,
ABA0004,SK TEMOH,8,56,35350,4.235840515,101.1728194,100.0,100.0,77.8,5.6,77.8,,,,,,,5.6,,,,,,
ABA0005,SK CHENDERIANG,8,56,35300,4.26798,101.240556,100.0,100.0,78.4,0.0,78.4,,,,,,,0.0,,,,,,
ABA0006,SK BIDOR,8,56,35500,4.107830073,101.2885528,94.4,94.4,75.0,0.0,75.0,,,,,,,0.0,,,,,,
ABA0007,SK KAMPONG POH,8,56,35500,4.087714,101.333928,93.8,93.8,81.2,6.2,81.2,,,,,,,6.2,,,,,,
ABA0008,SK BATU TIGA,8,56,35350,4.225044552,101.2275938,100.0,100.0,76.9,0.0,76.9,,,,,,,0.0,,,,,,
ABA0009,SK BATU MELINTANG,8,56,35000,4.199232221,101.2849985,100.0,100.0,62.5,0.0,62.5,,,,,,,0.0,,,,,,
ABA0010,SK HAJI HASAN,8,56,35400,4.126494,101.151,96.9,93.8,73.8,0.0,73.8,,,,,,,0.0,,,,,,
ABA0011,SK SRI KINJANG,8,56,35300,4.298925082,101.2466694,100.0,100.0,52.4,0.0,52.4,,,,,,,0.0,,,,,,
ABA0012,SK KAMPONG PAHANG,8,56,35000,4.224791585,101.2906353,90.5,90.5,75.0,25.0,75.0,,,,,,,25.0,,,,,,
ABA0013,SK BATU TUJUH,8,56,35000,4.250268,101.318631,97.4,97.4,76.4,0.0,76.4,,,,,,,0.0,,,,,,
ABA0014,SK JERAM MENGKUANG,8,56,35500,4.067267615,101.2414126,100.0,100.0,75.0,0.0,75.0,,,,,,,0.0,,,,,,
ABA0015,SK SUNGAI LESONG,8,56,31950,4.231541228,101.1454794,100.0,100.0,72.9,0.0,72.9,,,,,,,0.0,,,,,,
ABA0016,SK AYER KUNING,8,56,31920,4.194635174,101.1435608,100.0,100.0,60.6,0.0,58.6,66.7,100.0,,,,,0.0,0.0,0.0,,,,
ABA0017,SK BATU MASJID,8,56,35350,4.226201,101.200528,100.0,100.0,85.7,7.1,85.7,,,,,,,7.1,,,,,,
ABA0018,SK SUNGKAI,8,56,35600,3.995430141,101.3097114,100.0,100.0,63.2,4.6,65.4,33.3,33.3,,,,,4.9,0.0,0.0,,,,
ABA0019,SK PERLOK,8,56,35600,4.010141999,101.342328,95.5,95.5,74.2,0.0,74.2,,,,,,,0.0,,,,,,
ABA0020,SK BIKAM,8,56,35600,4.044575075,101.2974278,100.0,100.0,42.9,0.0,42.9,,,,,,,0.0,,,,,,
ABA0024,SK CHANGKAT SULAIMAN,8,56,35600,3.971203177,101.2955891,100.0,100.0,69.2,0.0,69.2,,,,,,,0.0,,,,,,
ABA0031,SK FELDA SUNGAI KELAH,8,56,35600,3.989146238,101.3698264,100.0,100.0,70.8,0.0,70.8,,,,,,,0.0,,,,,,
ABA0034,SK BATU 14,8,56,35000,4.322859,101.32708,93.5,93.5,88.6,0.0,88.6,,,,,,,0.0,,,,,,
ABA0035,SK BESOUT 3,8,56,35600,3.843797295,101.3003989,100.0,100.0,68.9,0.0,68.9,,,,,,,0.0,,,,,,
ABA0110,SK TROLAK UTARA,8,56,35600,3.950507367,101.3585782,100.0,100.0,75.0,0.0,75.0,,,,,,,0.0,,,,,,
ABA0118,SK TROLAK SELATAN,8,56,35600,3.919545422,101.3867882,100.0,97.6,71.9,4.7,73.3,66.7,0.0,,,,,5.0,0.0,0.0,,,,
ABA0120,SK SERI BESOUT,8,56,35600,3.847763,101.286544,100.0,100.0,71.8,0.0,69.7,100.0,100.0,,,,,0.0,0.0,0.0,,,,
ABA0125,SK POS GEDONG,8,56,35500,4.170615,101.376862,100.0,100.0,66.7,0.0,66.7,,,,,,,0.0,,,,,,
ABA0126,SK KAMPUNG SENTA,8,56,35500,4.153609,101.330783,100.0,100.0,83.3,0.0,83.3,,,,,,,0.0,,,,,,
ABA0127,SK POS MUSUH LZ,8,56,35000,4.262299,101.335809,100.0,100.0,62.5,0.0,62.5,,,,,,,0.0,,,,,,
ABA0128,SK JERNANG,8,56,35600,4.051292,101.419363,94.4,88.9,71.4,0.0,71.4,,,,,,,0.0,,,,,,
ABA0129,SK TAPAH,8,56,35000,4.181659638,101.2679804,100.0,100.0,76.0,0.0,76.0,,,,,,,0.0,,,,,,
ABA0130,SK BIDOR 2,8,56,35500,4.117048112,101.2769547,98.3,98.3,75.8,0.8,75.9,75.0,,,,,,0.9,0.0,,,,,
ABA1001,SK DENDANG,8,64,32700,4.502661886,100.8154582,100.0,100.0,60.0,0.0,60.0,,,,,,,0.0,,,,,,
ABA1002,SK BERUAS,8,64,32700,4.498995,100.786063,100.0,100.0,74.3,0.0,74.3,,,,,,,0.0,,,,,,
ABA1003,SK KAMPUNG KOTA,8,64,32700,4.479139195,100.7844878,94.4,94.4,60.0,0.0,60.0,,,,,,,0.0,,,,,,
