state,age_group,dose,metric,value
Malaysia,0_4,booster1,total,0.0
Malaysia,0_4,booster2,total,0.0
Malaysia,0_4,dose1,total,0.0
Malaysia,0_4,dose2,total,0.0
Malaysia,12_17,booster1,total,60484.0
Malaysia,12_17,booster2,total,463.0
Malaysia,12_17,dose1,total,2932729.0
Malaysia,12_17,dose2,total,2858161.0
Malaysia,18_29,booster1,total,4437332.0
Malaysia,18_29,booster2,total,139580.0
Malaysia,18_29,dose1,total,6852080.0
Malaysia,18_29,dose2,total,6788540.0
Malaysia,30_39,booster1,total,3731080.0
Malaysia,30_39,booster2,total,177125.0
Malaysia,30_39,dose1,total,5395863.0
Malaysia,30_39,dose2,total,5347136.0
Malaysia,40_49,booster1,total,2942382.0
Malaysia,40_49,booster2,total,135989.0
Malaysia,40_49,dose1,total,4025647.0
Malaysia,40_49,dose2,total,3993308.0
Malaysia,50_59,booster1,total,2285810.0
Malaysia,50_59,booster2,total,120333.0
Malaysia,50_59,dose1,total,3079654.0
Malaysia,50_59,dose2,total,3057948.0
Malaysia,5_11,booster1,total,6053.0
Malaysia,5_11,booster2,total,19.0
Malaysia,5_11,dose1,total,1777103.0
Malaysia,5_11,dose2,total,1545296.0
Malaysia,60_69,booster1,total,1658859.0
Malaysia,60_69,booster2,total,128451.0
Malaysia,60_69,dose1,total,2164798.0
Malaysia,60_69,dose2,total,2151880.0
Malaysia,70_79,booster1,total,741657.0
Malaysia,70_79,booster2,total,71535.0
Malaysia,70_79,dose1,total,984949.0
Malaysia,70_79,dose2,total,978515.0
Malaysia,80_above,booster1,total,222525.0
Malaysia,80_above,booster2,total,22006.0
Malaysia,80_above,dose1,total,325524.0
Malaysia,80_above,dose2,total,321514.0
Malaysia,adolescent,booster1,total,60484.0
Malaysia,adolescent,booster2,total,463.0
Malaysia,adolescent,dose1,total,2932729.0
Malaysia,adolescent,dose2,total,2858161.0
Malaysia,adult,booster1,total,16254850.0
Malaysia,adult,booster2,total,815809.0
Malaysia,adult,dose1,total,23422796.0
Malaysia,adult,dose2,total,23141910.0
Malaysia,child,booster1,total,6053.0
Malaysia,child,booster2,total,19.0
Malaysia,child,dose1,total,1777103.0
Malaysia,child,dose2,total,1545296.0
Malaysia,elderly,booster1,total,2623041.0
Malaysia,elderly,booster2,total,221992.0
Malaysia,elderly,dose1,total,3475271.0
Malaysia,elderly,dose2,total,3451909.0
Malaysia,total,booster1,total,16321387.0
Malaysia,total,booster2,total,816291.0
Malaysia,total,dose1,total,28132628.0
Malaysia,total,dose2,total,27545367.0
Klang Valley,0_4,booster1,total,0.0
Klang Valley,0_4,booster2,total,0.0
Klang Valley,0_4,dose1,total,0.0
Klang Valley,0_4,dose2,total,0.0
Klang Valley,12_17,booster1,total,22128.0
Klang Valley,12_17,booster2,total,199.0
Klang Valley,12_17,dose1,total,716260.0
Klang Valley,12_17,dose2,total,699482.0
Klang Valley,18_29,booster1,total,1645128.0
Klang Valley,18_29,booster2,total,73440.0
Klang Valley,18_29,dose1,total,2221674.0
Klang Valley,18_29,dose2,total,2197063.0
Klang Valley,30_39,booster1,total,1511552.0
Klang Valley,30_39,booster2,total,96335.0
Klang Valley,30_39,dose1,total,1943289.0
Klang Valley,30_39,dose2,total,1926922.0
Klang Valley,40_49,booster1,total,1131746.0
Klang Valley,40_49,booster2,total,75388.0
Klang Valley,40_49,dose1,total,1372005.0
Klang Valley,40_49,dose2,total,1361120.0
Klang Valley,50_59,booster1,total,753163.0
Klang Valley,50_59,booster2,total,62595.0
Klang Valley,50_59,dose1,total,876324.0
Klang Valley,50_59,dose2,total,869706.0
Klang Valley,5_11,booster1,total,1857.0
Klang Valley,5_11,booster2,total,10.0
Klang Valley,5_11,dose1,total,519529.0
Klang Valley,5_11,dose2,total,451276.0
Klang Valley,60_69,booster1,total,496798.0
Klang Valley,60_69,booster2,total,61385.0
Klang Valley,60_69,dose1,total,566043.0
Klang Valley,60_69,dose2,total,562880.0
Klang Valley,70_79,booster1,total,217861.0
Klang Valley,70_79,booster2,total,33933.0
Klang Valley,70_79,dose1,total,248494.0
Klang Valley,70_79,dose2,total,246952.0
Klang Valley,80_above,booster1,total,68049.0
Klang Valley,80_above,booster2,total,10792.0
Klang Valley,80_above,dose1,total,82959.0
Klang Valley,80_above,dose2,total,81895.0
Klang Valley,adolescent,booster1,total,22128.0
Klang Valley,adolescent,booster2,total,199.0
Klang Valley,adolescent,dose1,total,716260.0
Klang Valley,adolescent,dose2,total,699482.0
Klang Valley,adult,booster1,total,5905798.0
Klang Valley,adult,booster2,total,424887.0
Klang Valley,adult,dose1,total,7446384.0
Klang Valley,adult,dose2,total,7367858.0
Klang Valley,child,booster1,total,1857.0
Klang Valley,child,booster2,total,10.0
Klang Valley,child,dose1,total,519529.0
Klang Valley,child,dose2,total,451276.0
Klang Valley,elderly,booster1,total,782708.0
Klang Valley,elderly,booster2,total,106110.0
Klang Valley,elderly,dose1,total,897496.0
Klang Valley,elderly,dose2,total,891727.0
Klang Valley,total,booster1,total,5929783.0
Klang Valley,total,booster2,total,425096.0
Klang Valley,total,dose1,total,8682173.0
Klang Valley,total,dose2,total,8518616.0
Johor,0_4,booster1,total,0.0
Johor,0_4,booster2,total,0.0
Johor,0_4,dose1,total,0.0
Johor,0_4,dose2,total,0.0
Johor,12_17,booster1,total,8493.0
Johor,12_17,booster2,total,58.0
Johor,12_17,dose1,total,347511.0
Johor,12_17,dose2,total,339680.0
Johor,18_29,booster1,total,606538.0
Johor,18_29,booster2,total,14690.0
Johor,18_29,dose1,total,819660.0
Johor,18_29,dose2,total,814854.0
Johor,30_39,booster1,total,480911.0
Johor,30_39,booster2,total,16438.0
Johor,30_39,dose1,total,629738.0
Johor,30_39,dose2,total,625396.0
Johor,40_49,booster1,total,378240.0
Johor,40_49,booster2,total,13272.0
Johor,40_49,dose1,total,470461.0
Johor,40_49,dose2,total,467680.0
Johor,50_59,booster1,total,300579.0
Johor,50_59,booster2,total,13426.0
Johor,50_59,dose1,total,371050.0
Johor,50_59,dose2,total,369306.0
Johor,5_11,booster1,total,552.0
Johor,5_11,booster2,total,0.0
Johor,5_11,dose1,total,233707.0
Johor,5_11,dose2,total,209519.0
Johor,60_69,booster1,total,221332.0
Johor,60_69,booster2,total,16198.0
Johor,60_69,dose1,total,269716.0
Johor,60_69,dose2,total,268482.0
Johor,70_79,booster1,total,101472.0
Johor,70_79,booster2,total,8965.0
Johor,70_79,dose1,total,124913.0
Johor,70_79,dose2,total,124329.0
Johor,80_above,booster1,total,31579.0
Johor,80_above,booster2,total,2607.0
Johor,80_above,dose1,total,43246.0
Johor,80_above,dose2,total,42857.0
Johor,adolescent,booster1,total,8493.0
Johor,adolescent,booster2,total,58.0
Johor,adolescent,dose1,total,347511.0
Johor,adolescent,dose2,total,339680.0
Johor,adult,booster1,total,2148233.0
Johor,adult,booster2,total,87771.0
Johor,adult,dose1,total,2774940.0
Johor,adult,dose2,total,2753068.0
Johor,child,booster1,total,552.0
Johor,child,booster2,total,0.0
Johor,child,dose1,total,233707.0
Johor,child,dose2,total,209519.0
Johor,elderly,booster1,total,354383.0
Johor,elderly,booster2,total,27770.0
Johor,elderly,dose1,total,437875.0
Johor,elderly,dose2,total,435668.0
Johor,total,booster1,total,2157278.0
Johor,total,booster2,total,87829.0
Johor,total,dose1,total,3356158.0
Johor,total,dose2,total,3302267.0
Kedah,0_4,booster1,total,0.0
Kedah,0_4,booster2,total,0.0
Kedah,0_4,dose1,total,0.0
Kedah,0_4,dose2,total,0.0
Kedah,12_17,booster1,total,1928.0
Kedah,12_17,booster2,total,15.0
Kedah,12_17,dose1,total,210837.0
Kedah,12_17,dose2,total,205091.0
Kedah,18_29,booster1,total,194353.0
Kedah,18_29,booster2,total,3899.0
Kedah,18_29,dose1,total,404825.0
Kedah,18_29,dose2,total,402421.0
Kedah,30_39,booster1,total,150557.0
Kedah,30_39,booster2,total,5603.0
Kedah,30_39,dose1,total,285786.0
Kedah,30_39,dose2,total,283279.0
Kedah,40_49,booster1,total,132915.0
Kedah,40_49,booster2,total,3396.0
Kedah,40_49,dose1,total,235054.0
Kedah,40_49,dose2,total,233166.0
Kedah,50_59,booster1,total,122528.0
Kedah,50_59,booster2,total,2309.0
Kedah,50_59,dose1,total,209791.0
Kedah,50_59,dose2,total,208419.0
Kedah,5_11,booster1,total,90.0
Kedah,5_11,booster2,total,0.0
Kedah,5_11,dose1,total,86987.0
Kedah,5_11,dose2,total,74180.0
Kedah,60_69,booster1,total,98048.0
Kedah,60_69,booster2,total,2540.0
Kedah,60_69,dose1,total,156711.0
Kedah,60_69,dose2,total,155544.0
Kedah,70_79,booster1,total,39825.0
Kedah,70_79,booster2,total,1416.0
Kedah,70_79,dose1,total,70337.0
Kedah,70_79,dose2,total,69842.0
Kedah,80_above,booster1,total,10778.0
Kedah,80_above,booster2,total,420.0
Kedah,80_above,dose1,total,23156.0
Kedah,80_above,dose2,total,22811.0
Kedah,adolescent,booster1,total,1928.0
Kedah,adolescent,booster2,total,15.0
Kedah,adolescent,dose1,total,210837.0
Kedah,adolescent,dose2,total,205091.0
Kedah,adult,booster1,total,753766.0
Kedah,adult,booster2,total,21918.0
Kedah,adult,dose1,total,1400762.0
Kedah,adult,dose2,total,1386889.0
Kedah,child,booster1,total,90.0
Kedah,child,booster2,total,0.0
Kedah,child,dose1,total,86987.0
Kedah,child,dose2,total,74180.0
Kedah,elderly,booster1,total,148651.0
Kedah,elderly,booster2,total,4376.0
Kedah,elderly,dose1,total,250204.0
Kedah,elderly,dose2,total,248197.0
Kedah,total,booster1,total,755784.0
Kedah,total,booster2,total,21933.0
Kedah,total,dose1,total,1698586.0
Kedah,total,dose2,total,1666160.0
Kelantan,0_4,booster1,total,0.0
Kelantan,0_4,booster2,total,0.0
Kelantan,0_4,dose1,total,0.0
Kelantan,0_4,dose2,total,0.0
Kelantan,12_17,booster1,total,897.0
Kelantan,12_17,booster2,total,9.0
Kelantan,12_17,dose1,total,182547.0
Kelantan,12_17,dose2,total,177304.0
Kelantan,18_29,booster1,total,85369.0
Kelantan,18_29,booster2,total,1266.0
Kelantan,18_29,dose1,total,325952.0
Kelantan,18_29,dose2,total,323042.0
